chard	mushroom	rhubarb	quince	olive	pomegranate	turnip	peach	mustard	rosemary	cauliflower	arugula	grape	avocado	watercress	parsnip	okra	tomato	fig	huckleberry	mango	elderberry  chestnut	pear	type
31	0	2	0	53	1	97	44	424	125	56	60	130	1	1	141	72	20	3	7	53	164	1	102	1
205	150	146	596	135	20	81	201	77	132	156	50	108	147	85	120	131	16	157	104	71	57	53	107	7
46	64	0	1	222	2	30	69	0	78	95	2	144	0	822	1	278	1	14	77	61	20	60	43	2
68	218	1	0	209	0	113	95	104	27	80	141	16	0	372	234	104	148	349	89	17	2	45	20	3
33	241	173	67	79	85	208	10	2	214	83	0	189	371	388	2	44	4	272	186	19	49	200	113	6
14	1	0	0	82	0	254	128	2	105	35	1	52	0	0	2	50	0	4	63	136	39	0	34	0
194	4	1	0	30	1	21	123	1	190	47	1	25	1	0	0	16	1	2	105	38	101	4	104	0
101	0	128	63	28	393	80	214	188	43	200	286	122	826	0	79	54	334	0	44	278	27	1	154	5
93	129	112	137	93	552	499	209	21	80	73	306	49	95	95	170	5	49	141	109	123	19	105	273	7
11	516	66	85	175	268	114	121	3	8	125	2	64	454	130	1	296	1	9	134	23	31	422	59	6
225	330	50	78	38	140	175	427	91	213	127	31	45	175	52	89	22	121	60	190	25	58	44	4	7
43	1	399	366	35	9	140	75	126	30	138	15	9	157	2	133	53	148	1	91	94	87	2	158	5
183	0	0	0	209	0	53	158	2	88	263	0	171	0	0	1	34	0	1	56	219	59	0	485	0
79	0	74	102	132	56	30	93	0	80	98	2	107	244	1	1	140	4	0	15	8	99	0	33	4
89	194	122	107	47	125	190	38	100	63	142	304	47	481	266	131	118	415	161	205	239	35	328	127	7
294	0	145	18	189	242	68	178	0	61	43	0	24	80	0	2	98	1	0	31	19	124	0	55	4
26	10	0	0	147	0	11	10	101	178	35	326	58	0	364	495	103	398	29	83	80	17	67	59	3
142	204	180	31	60	155	31	16	0	196	33	1	175	208	208	0	39	2	6	72	98	128	26	62	6
27	4	2	0	184	1	198	73	239	105	133	109	50	2	0	412	52	85	2	26	16	22	0	37	1
238	84	444	46	253	165	67	75	3	177	46	1	127	126	279	0	153	1	271	104	100	93	98	10	6
12	156	0	1	84	2	25	98	96	55	68	185	162	1	29	61	78	190	48	237	158	149	1	151	3
222	320	1	0	179	1	40	2	2	84	31	0	38	1	175	0	63	0	201	119	1	58	107	112	2
104	1	2	4	105	3	154	68	84	111	253	82	51	6	1	68	47	84	0	31	77	116	0	58	1
54	395	595	90	117	358	149	235	1	29	39	1	93	77	56	1	24	3	180	150	84	29	323	92	6
235	134	0	0	440	3	9	82	181	55	136	116	5	0	270	257	50	97	166	175	351	21	43	212	3
99	0	0	0	66	0	18	32	0	145	41	1	39	0	3	3	67	0	0	127	71	278	0	69	0
185	372	0	2	134	1	90	61	332	226	88	88	115	3	99	126	107	474	35	50	100	61	185	46	3
103	0	69	784	261	69	92	74	2	84	109	2	207	171	1	0	86	1	1	70	39	49	2	30	4
35	126	0	2	36	0	173	133	3	22	59	1	43	4	194	2	86	1	61	64	37	22	161	271	2
4	560	0	0	30	0	194	205	0	93	160	1	148	2	80	0	20	2	225	30	116	89	119	16	2
115	325	202	20	172	384	76	24	0	80	126	0	9	463	412	0	182	2	65	67	179	160	381	200	6
262	51	2	1	11	3	198	50	0	78	124	0	107	2	169	0	187	0	82	47	78	47	175	29	2
108	4	0	1	112	0	247	19	193	101	32	85	111	0	0	336	68	323	0	175	181	29	2	201	1
73	619	0	0	140	1	69	14	172	135	28	139	21	0	558	142	11	21	59	53	47	12	75	131	3
276	0	33	487	140	284	166	26	92	111	101	39	112	129	1	215	14	247	0	68	142	123	3	131	5
44	0	185	39	123	113	93	10	2	46	62	1	297	197	1	0	24	4	0	29	72	149	1	36	4
170	3	2	1	79	0	77	1	0	107	195	1	159	2	2	1	139	0	1	40	278	83	4	5	0
16	0	40	255	43	74	48	91	228	116	81	100	142	117	0	140	43	567	0	50	88	155	0	29	5
74	5	406	74	177	215	25	341	0	243	32	2	57	122	0	1	34	0	2	53	10	64	1	52	4
207	2	3	0	104	1	100	52	3	76	59	1	39	0	0	0	34	0	0	9	91	23	0	43	0
